股票代码,股票简称,最新价,最新涨跌幅,所属同花顺行业,主力资金流向[20260415],最新dde大单净额,所属概念,总股本[20260415],市盈率(pe)[20260415],主力买入金额[20260415],主力卖出金额[20260415],market_code,code
688287.SH,*ST观典,1.96,20.24539877300614,国防军工-军工装备-航空装备,1066851.3000000007,1226542.100,ST板块;商业航天;军民融合;智慧城市;军工;无人机;低空经济;安防;人工智能;专精特新,370515600.00,-3.395,9261509.8,8194658.5,22,688287
688805.SH,健信超导,56.92,20.008433480919255,医药生物-医疗器械-医疗设备,32826942.0,89068360.000,科创次新股;注册制次新股;医疗器械概念;超导概念;新股与次新股;融资融券,167680000.00,127.065,153715018.0,120888076.0,17,688805
301189.SZ,奥尼电子,86.39,20.002778163633845,电子-消费电子-品牌消费电子,-82438804.0,9162762.000,智能家居;人民币贬值受益;消费电子概念;汽车电子;专精特新;星闪概念;跨境电商;人脸识别;智能音箱;宠物经济;机器人概念;物联网;无线耳机;车联网(车路协同);人工智能;腾讯概念;英伟达概念;鸿蒙概念;虚拟数字人;融资融券,116396465.00,-83.770,231812809.0,314251613.0,33,301189
688166.SH,博瑞医药,57.66,20.0,医药生物-化学制药-原料药,196053270.0,113545746.000,细胞免疫治疗;重组蛋白;减肥药;创新药;仿制药一致性评价;流感;合成生物;创投;沪股通;融资融券,423104454.00,447.516,415356790.0,219303520.0,17,688166
688618.SH,三旺通信,41.95,19.994279176201378,通信-通信设备-通信网络设备及器件,12919297.0,34347544.000,光纤概念;WiFi 6;智慧灯杆;高铁;水利;专精特新;海工装备;5G;网络安全;人工智能;新型工业化;安防;物联网;数字经济;智慧城市;车联网(车路协同);DeepSeek概念;华为概念;工业互联网;智能物流;星闪概念;芯片概念;换电概念;无人驾驶;机器人概念;一带一路;智能电网;粤港澳大湾区;充电桩;风电;储能;融资融券,110185630.00,126.394,64802215.0,51882918.0,17,688618
300097.SZ,智云股份,10.04,19.95221027479092,机械设备-自动化设备-其他自动化设备,53022811.0,29785084.000,柔性屏(折叠屏);MiniLED;OLED;新型工业化;华为概念;新能源汽车;MicroLED概念;智能物流;摘帽;股权转让(并购重组),288549669.00,-10.526,91451423.0,38428612.0,33,300097
301408.SZ,华人健康,20.16,16.397228637413395,医药生物-医药商业-药店,167801728.0,81479687.000,AI应用;智能医疗;医药电商;流感;创新药;阿里巴巴概念;养老概念;人工智能;合成生物;医疗器械概念;深股通;融资融券,400010000.00,38.591,247960462.0,80158734.0,33,301408
688811.SH,有研复材,21.04,14.847161572052395,有色金属-金属新材料-其他金属新材料,90541494.0,56298035.000,核电;注册制次新股;国企改革;央企国企改革;科创次新股;军工;新股与次新股;融资融券,501673605.00,153.196,211448594.0,120907100.0,17,688811
300857.SZ,协创数据,282.93,13.35336538461539,计算机-计算机设备-其他计算机设备,302113510.0,-354853200.000,EDR概念;算力租赁;英伟达概念;云游戏;东数西算(算力);云计算;存储芯片;共封装光学(CPO);数据中心;AI眼镜;智能音箱;芯片概念;腾讯概念;智能穿戴;AI智能体;AIGC概念;汽车电子;消费电子概念;人脸识别;车联网(车路协同);安防;小米概念;物联网;DeepSeek概念;短剧游戏;人工智能;AI应用;人形机器人;2025年报预增;机器人概念;网络游戏;粤港澳大湾区;智能家居;人民币贬值受益;家用电器;净水概念;跨境电商;2026一季报预增;融资融券;深股通,346120769.00,84.103,2726347230.0,2424233720.0,33,300857
300051.SZ,琏升科技,16.02,13.055751587861678,电力设备-光伏设备-光伏电池组件,13226383.0,-25766421.000,HJT电池;钙钛矿电池;TOPCON电池;光伏概念;云计算;福建自贸区;海峡两岸;储能,372017690.00,-49.233,132909482.0,119683099.0,33,300051
688802.SH,沐曦股份,694.0,13.047727642938593,电子-半导体-数字芯片设计,577394430.0,329984170.000,科创次新股;先进封装;芯片概念;注册制次新股;东数西算(算力);人工智能;信创;新股与次新股;融资融券,400100000.00,-351.727,1124291980.0,546897550.0,17,688802
301232.SZ,飞沃科技,220.33,12.966570959803127,电力设备-风电设备-风电零部件,169952940.0,183960220.000,商业航天;航空发动机;大飞机;无人机;低空经济;工业互联网;核电;专精特新;机器人概念;风电;融资融券,75162347.00,438.227,636396580.0,466443640.0,33,301232
688253.SH,英诺特,42.28,11.940693672226628,医药生物-医疗器械-体外诊断,21706258.5,7274769.700,智能医疗;猴痘概念;辅助生殖;阿尔茨海默概念;幽门螺杆菌概念;重组蛋白;肝炎概念;流感;医药电商;沪股通;融资融券,136984316.00,39.657,38291988.0,16585729.5,17,688253
300088.SZ,长信科技,6.97,11.698717948717942,电子-光学光电子-面板,239031060.0,145059970.000,MicroLED概念;电子纸;柔性屏(折叠屏);车联网(车路协同);华为概念;智能穿戴;虚拟现实;AI手机;OLED;智能座舱;小米概念;东数西算(算力);消费电子概念;汽车电子;元宇宙;比亚迪概念;特斯拉概念;苹果概念;华为汽车;新能源汽车;算力租赁;储能;石墨烯;锂电池概念;固态电池;一带一路;国企改革;深股通;融资融券,2497733579.00,45.734,670461300.0,431430240.0,33,300088
688603.SH,天承科技,97.19,11.54596579823253,电子-电子化学品-电子化学品Ⅲ,145139211.0,16465930.000,先进封装;PCB概念;芯片概念;沪股通;融资融券,124724524.00,144.941,230995380.0,85856169.0,17,688603
